hotel_name,author_name,language,review_text
Kerme Ottoman Gökova,Meryem Avcı,tr,otel konaklama konseptli olmasına yeterki odalar geniş ufak mutfak bölümü uzun süre kalınacaksa hazırlıklı gelindiğinde keyifli vakitler geçirilebilir doğa iç içe küçük köyün içinde huzur veriyor bahçesi havuzu görsel şölenn akyakaya azmak nehrine yakın araçla dk huzurla kaldım memnun oldum tekrar tekarr tercih edecğim biryer
Kerme Ottoman Gökova,Deniz Çakaloğlu,tr,merhabalar kesinlikle konaklama açısından burayı tercih etmiyoruz televizyon çalışmıyor yastıklar kötüydü sertti uyuyamadık temizlik sıfır yer toz içinde ayaklarımız resmen tozdan çamur biliriz havluları sert resmen zımpara duş bölümünde ahize güzel olurdu duş eli yarım duş asla alamıyorsunuz ilgi sıfır bilgi sıfır otel görsellerde görüldüğü asla hayal kırıklığı yaşayacağınız kesi̇n bayram tatilimiz maalesef rezil geçti gelmek isteyenler tekrar düşünebilirler herkese tatiller
Kerme Ottoman Gökova,Turkmen Hayri,en,place like apartment real kerme otel placed akyaka pool small room may used sleep price discounted
Kerme Ottoman Gökova,Sergio Bassaro,en,lovely staff quite location peaceful atmosphere definitely gonna stay
Kerme Ottoman Gökova,Nur Pinar,en,nice stay ottoman palace traditional turkish cousine wonderful breakfast
Kerme Ottoman Gökova,Abdallah Mawass,en,poor wifi breakfast drinking water bad smell bathroom
Kerme Ottoman Gökova,Eva Sevinçli,en,veey suitable families kids
Erdem Otel,asuman erikoğlu,tr,severek gittiğimiz otelden malesef mutsuz ayrılıp başka yerde konaklamaya geçtik aile kaldığımız yerde odalar temiz değildi ailenin kaldığı odada klozet çalışmıyordu kaldığımız sürede yapılmadı odadan kanalizasyon kokusu geliyordu odalarda havlu asacağımız yer yoktu kırıktı oda  kişi kalacağımızı ek yatak gerekli kaç gün söylememize ek yatak verilmedi yorgan verelim dediler yorgan başka dediler çocuğu aramızda yatırmak zorunda kaldık sabah kahvaltıda içi geçmiş çürümeye tutmuş karpuz servis ettiler iyiydi kalite malesef düşmüş
Erdem Otel,kemal çayır,tr,konakladık valla akyaka herşeyiyle pahalanmış marketteki lira su liraya tutturabildiğine satılıyor neymiş efendim sezon kısa kar yapacaklarmış tesadüfen erdem otele gittik zafer beyle tanıştık sağolsun akrabası yardımcı gelen müşterilere yeri olmasa yer bulmaya çalıştı fiyatta yardımcı helal tekrar teşekkür ederim
Erdem Otel,Burak Burak,tr,denize marketlere restoranlara yakın havuzu sakin güzel ortamı bulunan yer resepsiyonda arkadaşlar anıl i̇lkana ilgi alakalarından ayrıyetten teşekkürler ellerine emeklerine sağlık müdür zafer beyede herşey teşekkürler konuda yardımcı oldular numara insanlar birde odalarda buzdolaplarına bi çare lazım zafer abi haberin
Erdem Otel,Metehan Yılmaz,tr,akyaka’da keyifli tatil konaklayabileceğiniz mükemmel otel odalar güzel temiz çalışanlar güleryüzlü denize yürüyerek dakikalık mesafede otelin havuzu yeterli kahvaltısını beğendik akyaka’da tatil planınız varsa otele mutlaka göz atın akyaka tatilimde mutlaka tekrar konaklayacağım otel otel müdürü zafer bey’e ilgi alakasından ayriyetten teşekkür ederim
Erdem Otel,Azra yılmaz,tr,fiyata beklentimizin üzerindeydi odalar temiz bakımlıydı çalışanlar güleryüzlü ilgiliydi otelin konumu mükemmel denize eğlence yerlerine yakın ailece gelinebilecek yer memnun kaldık
Erdem Otel,öztürk gökgür,en,location perfect mr zafer mr anil interested reception things support requests best stayed nights went oludeniz next nights stayed night oludeniz returned erdem hotel back kitchen room staff friendly family came year old son satisfied room quite large want bring see avalible rooms suitable places choice beach steps breakfast adequate although central location absolutely sound problem rooms think sound insulation hot water smoothly write last word call hotel placed room come find right thank hotel staff
Erdem Otel,Daniel Cain,en,super clean cheap hot water host super friendly speaks excellent english best place ive stayed since
Erdem Otel,Daniel Palacios,en,nice hotel good rooms modern facilities location also great definitely recommend
Erdem Otel,Judit Lukácsné Petö,en,stayed twice nice place close everything hope return future
Erdem Otel,can durmuş,en,employees helpful positive however rooms especially bathroom dirty
Raymar Hotels Muğla,Gönül Öztopuz,tr,klasmanında otele son derece temiz hizmet kalitesi yüksekti otele check in işlemleri sırasında resepsiyonist emrah bey nazik yardımcı koridor harika temizlik ürünü kokuyordu çarşaflar tertemiz kahvaltı taze çalışanlara teşekkür ediyoruz muğlada kalacaklar güvenilir durak raymar hotel
Raymar Hotels Muğla,Yunus Ozdogan,tr,uzun yolculuğun ardından gece konaklayıp ertesi sabah hemen başka yerlere gitmek tercih ettiğimiz günümüzün geçtiği muhteşem otel odalar yeni istemediğiniz dolap odalarda ayrıntılı düşünülmüş bölümünde klimatvdolap mevcut odalar yatak odası yaşam alanı denilen bölüm geçiyor banyo yenilenmiş tertemiz çalışanlar daim güler yüzlü yardımcı çabalıyor kahvaltı açık büfe kaliteli konum akyakaya 15dk muğlamerkeze 5dk akbük koyuna 50dk
Raymar Hotels Muğla,Nilayda Gemicioğlu,tr,muğla düğün geldiğimizde konakladığımız otel temiz güzeldi çalışanlar kibar odalar büyüktü eşyalar yeniydi çevre otellere fiyatı çok uygundu kahvaltısı güzeldi memnun kaldık tavsiye edilir
Raymar Hotels Muğla,İrem Gürses,tr,tur gece konakladık otel merkezi konumda i̇kiye bölmüşler ek bina yapmışlar yakın eşyalarla gitmek zor açıkcası kaldığımız oda katta basıktı kötü özellikleri karşılama yemek temizlik güzeldi yemekler açık büfe akşam yemeğini kendileri tabaklarla servis ediyorlar lezzeti porsiyonu yeterliydi sabah kahvaltısı açık büfe güzeldi kaldığımız oda temizdi su sıcak akıyordu
Raymar Hotels Muğla,ijlal aydeniz,tr,otel marmaris muğla yolunda muğla merkeze yakın konaklayan akyaka marmaris fethiye vb rahatlıkla ulaşım sağlayabilir yeni yapılmış sade zevkli döşenmiş temiz otel arka tarafa bakan odaları sessiz çam ağacı manzaralı ön odaları yola bakıyor kapı kapandığı zaman gürültü fazla rahatsız etmiyor personel kibar kahvaltı açık büfe güzel yeterli nazar boncuğu niyetine kahvaltıda beyaz ekmek yanında kepekli ekmek eksikliğini hissettik hastane işimizden burayı tesadüfen bulduk bulmuşuz bir hafta rahat huzurlu kaldık çok memnun ayrıldık
Raymar Hotels Muğla,Manuel Brillantes,en,great accommodation services
Raymar Hotels Muğla,Gönül Öztopuz,en,extremely clean service quality high hotel class hotel checkin process receptionist mr emrah kind helpful corridor smelled great cleaning product sheets clean breakfast fresh thank employees raymar hotel reliable stop stay muğla
Raymar Hotels Muğla,Yunus Ozdogan,en,wonderful hotel chose stay night long journey go places next morning spent days rooms new many closets dont want rooms thought detail section air conditioning tv wardrobe way rooms divided section called bedroom living area like bathroom already renovated spotlessly clean employees always friendly try help breakfast open buffet good quality location minutes akyakaya minutes muğla center minutes akbük bay
Raymar Hotels Muğla,Nilayda Gemicioğlu,en,came muğla wedding hotel stayed clean beautiful employees polite caring rooms large furniture new price affordable compared surrounding hotels breakfast also good satisfied recommended
Raymar Hotels Muğla,İrem Gürses,en,stayed one night tour hotel central location divided two built additional building close little difficult get belongings room stayed bit low first floor bad features welcome food cleaning good meals open buffet serve dinner plates taste portion sufficient breakfast open buffet nice room stayed also clean water hot
Liya Boutique Hotel & Suites / Villa Yonca,Barış Aktan,tr,otelin konumu merkeze yürüme mesafesinde odalar temiz keyifli dekore edilmiş oda tipi suit odada kaldık odayı aile kullanabilir şeklinde geniş kullanışlı kahvaltısı lezzetli odanın avantajını kahvaltıda yaşadık ön bahçesinde size alan kahvaltınızı isterseniz getiriyorlar keyifli hafta sonu geçirdik otelin işletmecisi emir bey’e personellerine ilgi alaka güler yüzleri içinde teşekkür ediyorum tekrardan mutlaka görüşmek
Liya Boutique Hotel & Suites / Villa Yonca,Can Akçekaya,tr,eşim yaşındaki çocuğumuz gece konakladık yer olsaydı gece kalabilseydik memnun kaldık bizlere otel hizmeti rehberlik hizmeti verildi desek yalan söylemiş olmayız önerdikleri yerler kaliteli uygun güzeldi döndüğümüz gün yola çıkmadan önerdikleri plaja gidip günden faydalanıp eve döndük sunmuş oldukları kahvaltı şaşırttı i̇nanılmaz derecede fazla seçenek mevcut lezzetliydi odamız temiz istediğimizde içerideki ürünleri somurtmadan değiştirdiler içeriye girdiğinizde emir bey’i ozan bey’i tanıyormuşsunuz hissiyat oluşuyor vesileyle özellikle ozan bey’e emir bey’e ilgi alakalarından teşekkür ediyorum türkiye’de otelciliğin bitmediğini şeyin para olmadığını bizlere net şekilde gösteriyorlar yazdıklarımdan fazlası mevcut görmek akyaka’yı ziyaret edecekseniz mutlaka buraya uğrayın derim
Liya Boutique Hotel & Suites / Villa Yonca,Didem Kurt,tr,emir beye ozan beye teşekkür ederiz anlamda ilgililer sohbetliler sabahları kalktığınızda misafirlerini rahatsız olmasın el sallayarak günaydın diyebilecek ince düşünceliler odalar yeterli temiz otelin konumu güzeldi tarafı ormana yakın taraftan plaja yakın arabamız olmadan akyakanın yerini rahat gezdik haricinde ana caddelerden bi tık uzak geceleri rahat uyuyabilirsiniz gürültülü merdivrn albay koyuna yürüme mesafesinde kahvaltıları harika güzel haberler aldığımız harika tatil teşekkürler
Liya Boutique Hotel & Suites / Villa Yonca,selim ümütlü,tr,otantik tavanlı bahçesi kameriyeli tertemiz odada kaldık doğrusu odalı daire gibiydi i̇çi özenle döşenmişti kahvaltısı kelime muhteşemdi sofradaki özenle hazırlanmıştı lezzetliydi klimalar güzel çalışıyordu elektrikli ocakta çayımızı demleme imkanı bulduk akyakanın kireçsiz suyuyla çay harika demleniyor anlaşmalı plajın cam berrak denizinden keyif aldık otel işletmecileri emir bey ozan bey işlerini severek yapıyorlar paradan ziyade misafirlerin memnuniyetine önem veriyorlar şahit oldum verdikleri kaliteli hizmet türlü takdire şayan sürekli ihtiyacınız sormaları gezilecek yerler konusunda samimiyetle size rehberlik etmeleri harika durum aylik bebeğimizin kedilerle tanışması güzel enstantane özetle huzurun güvenin akyakadaki adresi liya butik teşekkür ediyoruz
Liya Boutique Hotel & Suites / Villa Yonca,Xxx Yyy,tr,açılın buraya övmeye geldim haziran tarihleri arasında gün boyunca kişi konakladık kuvvetle muhtemel sonraki tatillerimde akyakada konaklayacağım yer olacak objektif biçimde imkan kabiliyetlerini değerlendirdiğimizde akyakada kalitesine yakın yer bulmanın zor olacağını değerlendiriyorum artıları temizlik konusunda hassas kişilerin beklentilerini karşılayacak ortam sağlıyor talep etmeden personeli size odanın temizliğinin yapılabileceğini söylüyor odalar dış mekan katlar arası temiz ferah kahvaltı ekstralar konuda standartların üstünde kaliteyi sürekli biçimde sunabildiklerini gördüm kaldığım günün gününde liyada kahvaltı yaptım gün boyunca kalite bozulmadı ekstra talepler olumsuz geri dönmedi yumurtayı sucuklu istediğimde sucuğun bittiğini fark edip hızlıca malzeme temin edip sağlayan ozan emir beylerin müşteri memnuniyeti konusundaki hassasiyetleri ufak detaylarda gösteriyor su kahve seçenekleri gün içerisinde güzel imkanlar sağlıyorlar network ağı personelin turizm faaliyetleri çalışan kişiler bağı yapacağınız etkinliklerde yönlendirici tavra sahipler örneğin tekne turu konusunda iletişime geçerek yardımcı oldular civar yerlere ulaşımın sağlandığı hakkında bilgiler verdiler nerelere gidilebileceğini nerelere gitmeye değmeyeceği hakkında kıymetli bilgiler edindik malzeme kalitesi duş başlığından klozetine yatağından sedirine problemsiz sağlam malzeme temin edilmiş durumda klima klima otel hotel pansiyon cinsi yerde klima kalitesi yakın yer görmedim buzdolabında sunulan ürünler market fiyatında yakınlık uzaklık akyakanın önemli yerlerine dakikalık yürüme mesafesinde gürültülü mekanlardan uzak açıdan adıma ideal konumda bulunuyor özetle müşterisini önemseyen çizgide ilerleyen kalite konusunda belirli seviyeyi geçmiş kaliteli lokasyon ahmet hilalden sevgiler
Liya Boutique Hotel & Suites / Villa Yonca,Adil Albayrak,en,mr ozan mr emir friendly best make feel comfortable wife stayed three nights time hotel felt like home normally breakfast starts asked could earlier one days since needed leave early boat tour accommodated request without hesitation professional great conversations suggested many things us stay hotel located quite close beach minute walk also makes quiet peaceful place away crowds main attractions nice garden covered trees enjoy amazing breakfast natural environment stayed suite two spacious rooms balconies comfortable beds would definitely stay recommend anyone wants great experience akyaka
Liya Boutique Hotel & Suites / Villa Yonca,Ed Schmidt,en,loved stay place nice rooms everything could want value amazing owner helpful friendly great guy get included breakfast decided seeing everything else breakfast good fresh much food selection would definitely recommend stay
Liya Boutique Hotel & Suites / Villa Yonca,Katherine Aynur Kugay,en,tried three different hotels similar price akyaka favorite—clean rooms generous delicious breakfast helpful staff bathroom layout could improved shower needs door otherwise we’re happy second stay one year later
Liya Boutique Hotel & Suites / Villa Yonca,Nicu Dumitru,en,charming boutique hotel spacious rooms located quiet area minutes walk beach restaurants shops marina azmak creek turkishstyle breakfast diverse delicious featuring traditional dishes served tastefully decorated courtyard shade bougainvillea emir exceptionally kind friendly host welcomed us warmly provided useful information local beaches bazar buy authentic regional food products day cruises free parking property plus wonderful experience days spent akyaka thank emir hope return
Liya Boutique Hotel & Suites / Villa Yonca,Wiecher Van Der Laan,en,loved i̇t’s close beach minutes yet quiet apart birds chriping nothing much going apartment spacious good bed shower delicious turkish breakfast included moreover staff hospitable they’d go extra mile make feel comfortable
İskelem Butik Otel,Hayat Atay,tr,i̇skelem otelde gece günlük konaklama yaptık odaya giriş yaptığımız anda temizlik kokusu karşıladı odada ihtiyacınız olabilecek detay düşünülmüş kişi odayı kullandık odanın büyüklüğü yeterliydi personelleri inanılmaz güleryüzlüler sempatikler kahvaltısı serpme kahvaltı şeklinde çeşitlilik olabilir sıcak türü artırılabilir dışında lezzetliydi i̇skelede akşam yemeği yemek harika deneyimdi kesinlikle denemelisiniz muhteşem manzara muhteşem hizmet kesinlikle tavsiye ediyorum i̇skelem otel ailesine sonsuz teşekkürler
İskelem Butik Otel,REMZİ BALAY,tr,sayın işletmeci kaan beyden başka çalışan yokmu yanlış uygulama otelin google haritalarda ortalamasının artması evet çalışkan müşteri diyaloğunu götüren arkadaş kaan beye görev vermeniz dürüst hareket bırakın gerçekten memnun müşteriler size yıldız versin akyakanın güzel konumundaki otelden i̇skelem otel otellere alanı geniş denizle sıfır noktasında buluşan i̇skelem oteli sebepten tercih ettik güneşlenme şezlongların yatakların bulunduğu iskeleden hemen denize atlamak harika sabah kahvaltısıda yeterli harika servis bayan arkadaşlar bizin odamız balkonlu standart büyükçe rahat odaydı odalar eski nereyi tutsanız elinizde kalıyor pencere sineklikleri bozulmuş içeri sinekler vs giriyor işıklandırma yeterli bozuk banyo eski banyoda gömme küvet banyolar genelikle duşlu armatürler arızalı sıcak suyu ayarlamak zaman alıyor oda banyo temizliği yeterli eski olunca temizlikte görünmüyor oda temizliği kapıya talimat kartıdnd koyduğumuz halde temizlik yapılmadı kapı kolu pervaz yakın kart katlanıyor yeni kapı yeni anahtar sistemi para kasası gerekiyor taraftan akşam yemekleri iskeledeki şezlong şemsiyeler kaldırılıyor masalar konuyor ortam harika yemekleri sunumu servisi başarılı meze çeşitleri fazla balık genellikle çeşit etli yemek çeşitleri fiyatlar ortalamanın üstünde çalışanların müşterilerle alakalı durum odalar yenilenirse süper butik otel
